Name,Image URL,Video URL,Code URL
Background Parallax,Resources/backgroundParallax.png,https://www.youtube.com/shorts/PYapV5zpgy4,https://www.patreon.com/Codelaby/posts/background-in-110807529
Horizontal Parallax Card,Resources/ParallaxHCard.png,https://youtube.com/shorts/fOu5RkcuiZk,https://www.patreon.com/Codelaby/posts/card-parallax-in-115423537
Vertical Parallax,Resources/VerticalParallaxScrollView.png,https://www.youtube.com/shorts/sXjTmhSDTCI,https://www.patreon.com/Codelaby/posts/vertical-in-163345044
Base carousel,Resources/base_carousel.png,https://www.youtube.com/shorts/xRnlVvt6HHA,https://www.patreon.com/Codelaby/posts/build-horizontal-123339905
Horizontal Stacked Card,Resources/HorizontalStackedCardCarousel.png,https://www.youtube.com/shorts/HQYgUVfknMo,https://www.patreon.com/Codelaby/posts/scrollable-card-107938506
Safari-Style Tab Switcher,Resources/safari_bottom_babbar.png,https://youtube.com/shorts/fe00Q7LGvYo,https://www.patreon.com/Codelaby/posts/safari-style-tab-164614282
Swimming Activity Widget Concept,Resources/swimmingWidgetConcept.png,https://www.youtube.com/shorts/0ZZJifpzSdw,https://www.patreon.com/Codelaby/posts/swimming-widget-164754201
